date,PE_RATIO,Fwd_PE_RATIO,5Y_GENERIC,1Y_GENERIC,S&P_500_TR,PE_Yield,Fwd_PE_Yield,FWD_PE_minus_5Y,S&P_500_FORWARD_1_YEAR_GAIN,CPI_YOY,GENERIC_INFLATION_INDEXED_5Y_GOV_BOND,Expected_inflation_5Y
31/08/1992,26,14,5.6,3.45,486,3.90%,7.30%,1.80%,15.20%,3.2,,
,,,,,,,,,,,,
31/07/1992,26,14,5.8,3.62,496,3.80%,7.20%,1.40%,8.70%,3.1,,
,,,,,,,,,,,,
30/06/1992,25,13,6.3,4.05,476,3.90%,7.60%,1.30%,13.60%,3,,
,,,,,,,,,,,,
29/05/1992,27,14,6.6,4.24,484,3.70%,7.40%,0.80%,11.60%,3.2,,
,,,,,,,,,,,,
30/04/1992,26,13,6.9,4.31,481,3.80%,7.40%,0.60%,9.20%,3.2,,
,,,,,,,,,,,,
31/03/1992,26,13,6.9,4.49,468,3.90%,7.70%,0.80%,15.20%,2.8,,
,,,,,,,,,,,,
28/02/1992,26,13,6.6,4.3,477,3.80%,7.50%,1.00%,10.70%,2.6,,
,,,,,,,,,,,,
31/01/1992,26,13,6.4,4.19,471,3.80%,7.50%,1.10%,10.60%,3.1,,
